Date,BTG Pactual,Itau,Renner,Magalu,Petrobras,Taesa,Vale,Weg,IBOVESPA
2020-01-02,16.36819839477539,23.424190521240234,38.85808563232422,106.33926391601562,8.818673133850098,16.88860511779785,30.140161514282227,15.560317993164062,118573.0
2020-01-03,16.415700912475586,23.177814483642578,38.587764739990234,105.39077758789062,8.74686336517334,16.866701126098633,29.918256759643555,15.36161994934082,117707.0
2020-01-06,16.391942977905273,22.8328857421875,38.5539665222168,105.47700500488281,8.850271224975586,16.97075080871582,29.740734100341797,15.401359558105469,116878.0
2020-01-07,16.45734405517578,22.303190231323242,38.53369140625,105.17520904541016,8.815801620483398,16.76812744140625,29.957080841064453,15.520577430725098,116662.0
2020-01-08,16.311494827270508,21.939781188964844,38.78374481201172,108.4087142944336,8.761223793029785,16.598369598388672,29.962631225585938,14.933314323425293,116247.0
2020-01-09,16.422513961791992,21.502460479736328,38.486392974853516,112.26737213134766,8.732497215270996,16.390270233154297,29.568754196166992,14.712536811828613,115947.0
2020-01-10,16.65326690673828,21.311511993408203,38.608036041259766,111.66377258300781,8.695154190063477,16.675039291381836,29.602039337158203,15.012791633605957,115503.0
2020-01-13,16.696807861328125,21.594863891601562,39.44602584838867,116.90206146240234,8.712390899658203,16.75717544555664,30.67827796936035,15.154088020324707,117325.0
2020-01-14,16.378976821899414,21.594863891601562,38.94593048095703,116.40625762939453,8.617597579956055,16.724319458007812,30.86689567565918,15.45434856414795,117632.0
2020-01-15,16.23965835571289,21.33000373840332,38.68912887573242,115.6733169555664,8.488332748413086,16.844797134399414,30.767040252685547,15.555900573730469,116414.0
2020-01-16,16.032852172851562,21.373106002807617,39.0,115.2421875,8.479717254638672,16.80646324157715,30.606157302856445,15.838497161865234,116704.0
2020-01-17,16.681564331054688,21.520936965942383,40.02043914794922,117.1607437133789,8.574508666992188,17.151464462280273,31.621368408203125,16.24913787841797,118478.0
2020-01-20,16.65326690673828,21.083616256713867,40.209659576416016,120.71759796142578,8.617597579956055,17.523845672607422,31.82108497619629,16.748098373413086,118862.0
2020-01-21,16.735990524291992,20.633981704711914,39.83797836303711,120.52359008789062,8.508440971374512,17.48551368713379,31.083255767822266,16.553810119628906,117026.0
2020-01-22,16.527006149291992,20.75717544555664,40.446197509765625,120.0493392944336,8.413647651672363,17.4581356048584,31.2330379486084,17.17640495300293,118391.0
